"Points:0","Points:1","Points:2"
0.608376,21.3215,-6.38731
0.115521,21.9073,-6.76536
0.70536,22.3009,-6.92214
1.0141,20.7986,-6.06985
1.61669,21.182,-6.28523
1.07519,21.8491,-6.66413
0.432421,20.4247,-5.90108
0.392564,23.8132,-7.75488
0.299638,22.8238,-7.2396
0.889042,23.3879,-7.50973
4.13417,23.1362,-8.26145
3.70158,23.9697,-8.46297
3.41728,23.5265,-8.07406
3.75457,22.7756,-7.80183
4.2982,23.9938,-8.8834
4.76021,23.1998,-8.80865
4.52474,22.4242,-8.13116
0.983886,57.1594,-23.1713
0.563698,56.2512,-23.2005
1.5496,56.3832,-23.3297
2.07659,57.1184,-23.3889
1.67596,57.8998,-23.2348
0.762408,57.9058,-23.0899
0.393462,57.1562,-23.0979
10.3388,30.866,-25.8787
10.2656,31.4708,-26.6653
10.5179,30.6326,-26.4834
10.6139,29.9874,-25.8043
10.1513,31.4718,-25.9224
10.2896,30.6749,-25.1309
10.0147,31.5233,-25.1641
10.8491,30.578,-28.0692
10.5304,31.4478,-28.1328
10.9434,30.7874,-28.6943
11.2994,29.9669,-28.7455
11.0946,29.9505,-28.0125
10.9023,29.9537,-27.2869
10.6306,30.7621,-27.3399
4.71171,34.6377,-15.5775
4.12253,35.3855,-15.7317
4.88859,35.3752,-16.3192
5.38209,34.6202,-16.1966
5.19733,33.8729,-15.4669
4.50145,33.8712,-14.874
3.96047,34.5976,-15.0173
6.93618,33.6691,-17.548
7.09862,33.0237,-17.397
7.22991,32.3891,-17.2428
7.44501,33.0958,-18.068
7.70068,32.258,-18.0391
6.76905,32.9313,-16.8042
12.3609,39.6563,-36.911
12.062,40.4251,-36.8469
12.5443,40.5434,-37.5697
12.8256,39.6551,-37.6168
12.6974,38.8364,-36.9665
12.1816,38.9091,-36.2518
11.6963,40.4341,-36.3546
11.8219,39.7897,-36.2221
17.1915,41.7339,-42.1221
16.8272,42.4945,-42.0418
16.2529,42.0005,-41.9222
16.7318,41.0363,-41.9456
17.8332,41.0351,-42.1511
18.2496,41.9234,-42.1535
17.8451,42.4952,-42.102
10.7899,45.6884,-35.0369
11.0483,44.9328,-35.7453
11.1814,45.669,-35.6463
10.6934,45.0512,-35.1485
11.0363,46.4414,-34.9845
10.2149,44.9526,-34.3942
10.4806,45.6957,-34.5218
10.5117,46.324,-34.2096
0.313566,50.4572,-23.5856
0.896681,51.1811,-23.7142
0.337294,51.9873,-23.6263
3.87102,47.5048,-24.1668
3.35897,48.1097,-24.0881
4.68664,47.3329,-24.7222
4.30535,46.6917,-24.1084
4.06615,47.9804,-24.4732
3.50611,46.643,-23.5178
3.0144,47.3478,-23.6091
8.62904,52.3104,-27.7228
8.07819,51.7258,-27.6284
9.30255,52.4422,-28.106
8.75412,51.8277,-28.0724
9.56959,52.7843,-28.0169
9.17761,53.0445,-27.603
8.38059,53.146,-27.0944
7.87341,52.3806,-27.1742
5.15253,55.5127,-24.6656
4.61637,54.6478,-24.6285
5.44048,54.885,-24.9375
6.00359,55.5191,-24.9883
5.67681,56.2678,-24.664
4.96601,56.4576,-24.3926
4.35561,55.6148,-24.3414
1.34632,67.644,-23.4015
0.894795,68.3877,-23.484
0.33298,67.6131,-23.3197
0.75712,66.8603,-23.2535
1.82915,66.8195,-23.3322
2.36599,67.4446,-23.4503
1.99884,68.366,-23.5658
3.16696,75.8108,-25.2868
2.64956,76.5266,-25.4453
2.13691,75.9507,-25.2913
2.63963,75.2153,-25.1154
3.71059,75.0642,-25.1121
4.2287,75.7901,-25.3166
3.75641,76.5647,-25.4858
1.97042,81.8321,-26.5667
1.47722,82.5971,-26.6893
0.933127,81.8721,-26.552
1.44614,81.1165,-26.425
2.15544,82.7476,-26.7231
2.65082,81.9826,-26.6103
2.46363,81.0671,-26.4441
3.0227,81.4113,-26.5154
4.57035,80.2254,-26.3512
4.07932,80.9904,-26.4836
5.04917,79.4508,-26.2113
5.59466,80.1859,-26.3996
5.09141,80.9412,-26.5244
4.38726,79.3397,-26.1535
3.89811,80.0947,-26.2956
18.2145,45.4522,-40.9741
17.2048,45.3918,-41.0964
17.7514,44.8166,-41.3723
18.2882,44.3911,-41.446
18.778,44.7862,-41.1538
19.2579,45.4012,-40.7416
18.6928,45.8974,-40.6232
18.1395,46.393,-40.4202
17.6441,45.8783,-40.7952
11.287,49.9757,-31.8667
11.0829,50.32,-31.319
11.6433,51.0136,-31.1657
10.4442,50.3064,-30.6621
10.9805,51.0308,-30.5348
17.3191,53.8411,-31.3759
16.4544,53.5858,-31.3013
17.1161,53.3786,-31.9524
17.6108,53.2955,-32.3439
18.0855,53.7306,-31.9323
18.0077,54.3202,-30.9987
17.2408,54.4109,-30.5346
16.6466,54.0089,-30.8193
11.2041,53.8074,-27.9943
10.6098,53.2152,-28.2579
11.371,53.0748,-28.7948
12.1139,53.7426,-28.4983
12.3613,54.1946,-28.1681
11.8795,54.4272,-27.7229
11.075,54.5691,-27.2674
10.4587,53.9675,-27.5256
14.1841,55.2019,-28.0728
13.5109,54.5821,-28.3539
14.1896,54.444,-28.8887
14.7979,54.9559,-28.6524
14.9696,55.4597,-28.206
14.4854,55.6824,-27.7511
14.0693,55.9332,-27.3221
13.348,55.3046,-27.5729
18.9549,56.2265,-28.7859
18.4774,56.3794,-28.4625
17.9981,55.9343,-28.8547
18.7663,55.7734,-29.2875
19.6573,55.9677,-29.3048
19.5819,56.5976,-28.5143
18.8055,56.8088,-28.0835
6.82994,59.0739,-24.1295
6.28648,58.3297,-24.2276
7.32291,58.5201,-24.3457
7.83612,59.1951,-24.2131
7.37092,59.8083,-24.0216
6.71978,59.9569,-23.9315
6.04418,59.2963,-23.9774
5.16101,66.0132,-23.4891
4.54242,66.7215,-23.5165
4.13178,66.0328,-23.4213
4.61717,65.2583,-23.4028
5.95763,65.9802,-23.5267
5.68789,65.2475,-23.4717
5.60445,66.5608,-23.5663
11.4451,64.3314,-23.7642
11.1784,65.0894,-23.7544
10.504,64.3584,-23.6768
11.1328,63.5901,-23.7494
11.7853,65.062,-23.8138
11.7425,63.5826,-23.8185
12.3375,64.3058,-23.8625
13.2805,62.7685,-24.0675
12.7405,63.5341,-23.9341
12.2983,62.7666,-23.9379
12.6844,62.0455,-24.0647
13.4475,61.8638,-24.2015
13.8712,62.7817,-24.1409
13.6494,63.5182,-24.0595
15.4862,67.9581,-24.4435
15.1159,68.5492,-24.4972
14.5634,67.9445,-24.3519
15.0657,67.2295,-24.3094
15.785,68.6802,-24.5842
15.8415,67.3774,-24.4137
16.4309,67.981,-24.5405
22.2021,64.0238,-25.0249
21.779,64.7762,-24.9577
21.1341,64.0543,-24.8736
21.6911,63.2782,-24.9929
22.917,64.0135,-25.1525
22.5773,63.263,-25.154
22.6413,64.7616,-25.1037
12.1221,71.8384,-24.8366
11.6394,72.5531,-24.9669
11.1511,71.9564,-24.7869
11.6521,71.2011,-24.6523
12.6535,71.0422,-24.7054
13.1415,71.6289,-24.8855
12.6404,72.3842,-25.0201
13.3646,77.8806,-26.6184
12.8633,78.6259,-26.753
13.8635,77.1254,-26.4741
14.3429,77.7125,-26.7073
13.8321,78.4681,-26.844
13.1394,76.9659,-26.3275
12.7144,77.7991,-26.517
15.8502,80.6936,-27.7849
15.3624,81.4584,-27.8858
16.338,79.9288,-27.684
16.8019,80.5064,-27.9411
16.3144,81.2812,-28.042
15.5737,79.7703,-27.4951
15.0859,80.535,-27.596
20.0215,73.0449,-26.3186
19.4921,73.7209,-26.4285
19.0806,73.1917,-26.1701
19.5719,72.4368,-26.0377
20.3737,73.9964,-26.7146
20.7908,73.1534,-26.537
20.5245,72.2796,-26.1939
19.7805,75.946,-27.2424
19.2772,76.7013,-27.3672
18.8238,76.1133,-27.0667
19.3246,75.348,-26.9322
20.0295,76.8203,-27.5996
20.5325,76.0551,-27.4748
